,reviewId,content,score,sentiment
0,3396110b-c84e-42b8-852a-a07fdbacc77e,I am deaf.,1,positive
1,c7c446f8-b2cc-4480-8944-2d5b8b29fa85,"Like it's parent app YouTube, this is surprisingly simple to use, and makes your personal music stored on your SD card accessible to the player quite easily.",5,positive
